Id,0,1,2,3,4,5,6,7,8
Packets Sent,47171,46831,46603,46935,46340,46675,46228,46870,46557
Id,sw0,sw1,sw2,sw3,sw4
Packets Received,140605,63075,108056,16912,156561
Packets Dropped,118898,41906,84033,0,128908
Loss Rate,0.845617,0.664384,0.77768,0.0,0.823372
Average Buffer Occupancy,4486.122995,4344.21327,4797.794258,5.235,5651.192308
Id,s0
Average Wait Time,60.858329
Bytes per Second,199996.596317
Id,0,1,2,3,4,5,6,7,8
Packets Sent,47171,46831,46603,46935,46340,46675,46228,46870,46557
Id,sw0,sw1,sw2,sw3,sw4
Packets Received,140605,63075,108056,16912,156561
Packets Dropped,118898,41906,84033,0,128908
Loss Rate,0.845617,0.664384,0.77768,0.0,0.823372
Average Buffer Occupancy,4486.122995,4344.21327,4797.794258,5.235,5651.192308
Id,s0
Average Wait Time,60.858329
Bytes per Second,199996.596317
Id,0,1,2,3,4,5,6,7,8
Packets Sent,46700,47010,46751,46601,46589,46954,46966,47107,46956
Id,sw0,sw1,sw2,sw3,sw4
Packets Received,140461,63224,109579,18149,159173
Packets Dropped,118499,41397,84872,0,130654
Loss Rate,0.843643,0.654767,0.774528,0.0,0.82083
Average Buffer Occupancy,4308.662857,4094.073298,4445.088235,5.801802,5165.569378
Id,s0
Average Wait Time,45.709186
Bytes per Second,199997.91393
