Id,0,1,2,3,4,5,6,7,8
Packets Sent,60000,60000,60000,60000,60000,60000,60000,60000,60000
Id,sw0,sw1,sw2,sw3,sw4
Packets Received,180000,193331,253331,133331,313330
Packets Dropped,13335,26666,86666,0,146665
Loss Rate,0.074083,0.137929,0.342106,0.0,0.468085
Average Buffer Occupancy,20877.069519,24469.787736,28033.668639,1.0,30159.096591
Id,s0
Average Wait Time,57.229509
Bytes per Second,199996.5
Id,0,1,2,3,4,5,6,7,8
Packets Sent,60000,60000,60000,60000,60000,60000,60000,60000,60000
Id,sw0,sw1,sw2,sw3,sw4
Packets Received,180000,193331,253331,133331,313330
Packets Dropped,13335,26666,86666,0,146665
Loss Rate,0.074083,0.137929,0.342106,0.0,0.468085
Average Buffer Occupancy,20877.069519,24469.787736,28033.668639,1.0,30159.096591
Id,s0
Average Wait Time,57.229509
Bytes per Second,199996.5
Id,0,1,2,3,4,5,6,7,8
Packets Sent,60000,60000,60000,60000,60000,60000,60000,60000,60000
Id,sw0,sw1,sw2,sw3,sw4
Packets Received,180000,193331,253331,133331,313330
Packets Dropped,13335,26666,86666,0,146665
Loss Rate,0.074083,0.137929,0.342106,0.0,0.468085
Average Buffer Occupancy,21715.149321,23453.994975,28640.217195,1.0,30916.112245
Id,s0
Average Wait Time,49.422553
Bytes per Second,199996.5
